PC,PT,CU,DCM,CH,TY,CT,TP,VF,VT,ZI,HY,BatLbl,StrLbl,CellLbl,Bat No,Str No,Blk Fr,Blk To,Ver,HV,LV,HZ,LZ,HT,LT,HC,LC,SP1,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank
1,1,1,6,3,Z,,,,3,3,,UPS 2B,1,23,1,1,23,,2.2,14.4,12.5,6,1,,,,,,,,,13.58,2,,,,,,13.59,2,,,,,,13.6,2,,,,,,13.6,2,,,,,,13.6,2,,,,,,13.6,2,,,,,,13.6,2,,,,,,13.6,2,,,,,,13.6,2,,,,,,13.6,2,,,,,,13.6,2,,,,,,13.59,2,,,,,,13.6,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.58,2,,,,,,13.6,2.01,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,
1,1,1,6,4,Z,,,,4,4,,UPS 2B,1,24,1,1,24,,2.2,14.4,12.5,6,1,,,,,,,,,13.56,1.81,,,,,,13.56,1.81,,,,,,13.56,1.8,,,,,,13.56,1.8,,,,,,13.56,1.81,,,,,,13.56,1.81,,,,,,13.56,1.81,,,,,,13.56,1.81,,,,,,13.56,1.81,,,,,,13.56,1.82,,,,,,13.55,1.81,,,,,,13.56,1.81,,,,,,13.56,1.81,,,,,,13.56,1.81,,,,,,13.55,1.81,,,,,,13.56,1.81,,,,,,13.56,1.81,,,,,,13.55,1.81,,,,,,13.55,1.8,,,,,,13.55,1.81,,,,,,13.55,1.8,,
1,1,1,7,1,Z,,,,1,1,,UPS 2B,1,25,1,1,25,,2.2,14.4,12.5,6,1,,,,,,,,,13.6,1.94,,,,,,13.6,1.94,,,,,,13.6,1.94,,,,,,13.6,1.94,,,,,,13.6,1.95,,,,,,13.6,1.94,,,,,,13.6,1.94,,,,,,13.6,1.95,,,,,,13.6,1.95,,,,,,13.6,1.95,,,,,,13.6,1.95,,,,,,13.6,1.95,,,,,,13.6,1.95,,,,,,13.59,1.94,,,,,,13.59,1.94,,,,,,13.59,1.94,,,,,,13.59,1.94,,,,,,13.59,1.94,,,,,,13.6,1.94,,,,,,13.6,1.94,,,,,,13.59,1.93,,
1,1,1,7,2,Z,,,,2,2,,UPS 2B,1,26,1,1,26,,2.2,14.4,12.5,6,1,,,,,,,,,13.57,1.98,,,,,,13.56,1.98,,,,,,13.56,1.98,,,,,,13.56,1.98,,,,,,13.56,1.98,,,,,,13.56,1.98,,,,,,13.56,1.99,,,,,,13.56,1.99,,,,,,13.56,1.98,,,,,,13.56,1.99,,,,,,13.56,1.99,,,,,,13.56,1.98,,,,,,13.55,1.98,,,,,,13.55,1.98,,,,,,13.55,1.98,,,,,,13.56,1.98,,,,,,13.55,1.98,,,,,,13.55,1.98,,,,,,13.55,1.98,,,,,,13.55,1.98,,,,,,13.55,1.98,,
1,1,1,7,3,Z,,,,3,3,,UPS 2B,1,27,1,1,27,,2.2,14.4,12.5,6,1,,,,,,,,,13.59,2.05,,,,,,13.58,2.05,,,,,,13.58,2.04,,,,,,13.58,2.04,,,,,,13.58,2.05,,,,,,13.59,2.05,,,,,,13.58,2.05,,,,,,13.58,2.05,,,,,,13.58,2.05,,,,,,13.58,2.05,,,,,,13.58,2.05,,,,,,13.58,2.04,,,,,,13.58,2.05,,,,,,13.58,2.04,,,,,,13.58,2.04,,,,,,13.58,2.04,,,,,,13.58,2.04,,,,,,13.58,2.04,,,,,,13.58,2.04,,,,,,13.57,2.05,,,,,,13.57,2.04,,
1,1,1,7,4,Z,,,,4,4,,UPS 2B,1,28,1,1,28,,2.2,14.4,12.5,6,1,,,,,,,,,13.58,1.8,,,,,,13.57,1.8,,,,,,13.58,1.8,,,,,,13.58,1.8,,,,,,13.57,1.8,,,,,,13.58,1.8,,,,,,13.57,1.8,,,,,,13.56,1.8,,,,,,13.57,1.8,,,,,,13.57,1.8,,,,,,13.57,1.8,,,,,,13.57,1.8,,,,,,13.57,1.8,,,,,,13.57,1.8,,,,,,13.56,1.8,,,,,,13.57,1.8,,,,,,13.56,1.8,,,,,,13.56,1.79,,,,,,13.56,1.79,,,,,,13.57,1.8,,,,,,13.56,1.79,,
1,1,1,8,1,Z,,,,1,1,,UPS 2B,1,29,1,1,29,,2.2,14.4,12.5,6,1,,,,,,,,,13.59,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.57,1.98,,,,,,13.57,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.57,1.98,,,,,,13.58,1.98,,,,,,13.57,1.98,,,,,,13.58,1.98,,,,,,13.57,1.98,,,,,,13.57,1.98,,,,,,13.57,1.98,,
1,1,1,8,2,Z,,,,2,2,,UPS 2B,1,30,1,1,30,,2.2,14.4,12.5,6,1,,,,,,,,,13.58,2.15,,,,,,13.58,2.15,,,,,,13.58,2.15,,,,,,13.58,2.15,,,,,,13.58,2.15,,,,,,13.58,2.15,,,,,,13.58,2.16,,,,,,13.58,2.16,,,,,,13.58,2.16,,,,,,13.58,2.16,,,,,,13.58,2.15,,,,,,13.58,2.15,,,,,,13.58,2.16,,,,,,13.57,2.15,,,,,,13.58,2.15,,,,,,13.59,2.15,,,,,,13.59,2.15,,,,,,13.59,2.15,,,,,,13.59,2.15,,,,,,13.59,2.15,,,,,,13.59,2.15,,
1,1,1,8,3,Z,,,,3,3,,UPS 2B,1,31,1,1,31,,2.2,14.4,12.5,6,1,,,,,,,,,13.62,1.97,,,,,,13.61,1.97,,,,,,13.61,1.97,,,,,,13.61,1.97,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.61,1.97,,,,,,13.62,1.97,,,,,,13.61,1.97,,,,,,13.61,1.97,,,,,,13.61,1.97,,,,,,13.61,1.97,,,,,,13.6,1.97,,,,,,13.6,1.97,,,,,,13.61,1.97,,,,,,13.61,1.97,,,,,,13.6,1.97,,,,,,13.6,1.97,,,,,,13.6,1.97,,,,,,13.6,1.97,,,,,,13.6,1.97,,
1,1,1,8,4,Z,,,,4,4,,UPS 2B,1,32,1,1,32,,2.2,14.4,12.5,6,1,,,,,,,,,13.62,1.82,,,,,,13.61,1.82,,,,,,13.61,1.81,,,,,,13.6,1.81,,,,,,13.6,1.82,,,,,,13.6,1.82,,,,,,13.6,1.82,,,,,,13.59,1.82,,,,,,13.59,1.82,,,,,,13.59,1.82,,,,,,13.59,1.82,,,,,,13.59,1.82,,,,,,13.59,1.82,,,,,,13.59,1.82,,,,,,13.59,1.82,,,,,,13.59,1.82,,,,,,13.59,1.81,,,,,,13.59,1.81,,,,,,13.58,1.81,,,,,,13.58,1.81,,,,,,13.58,1.81,,
1,1,1,9,1,Z,,,,1,1,,UPS 2B,1,33,1,1,33,,2.2,14.4,12.5,6,1,,,,,,,,,13.55,1.96,,,,,,13.56,1.96,,,,,,13.55,1.96,,,,,,13.55,1.96,,,,,,13.55,1.96,,,,,,13.56,1.96,,,,,,13.56,1.96,,,,,,13.55,1.96,,,,,,13.55,1.97,,,,,,13.56,1.97,,,,,,13.55,1.96,,,,,,13.55,1.96,,,,,,13.56,1.96,,,,,,13.55,1.96,,,,,,13.55,1.96,,,,,,13.55,1.96,,,,,,13.55,1.96,,,,,,13.55,1.96,,,,,,13.55,1.95,,,,,,13.55,1.95,,,,,,13.55,1.95,,
1,1,1,9,2,Z,,,,2,2,,UPS 2B,1,34,1,1,34,,2.2,14.4,12.5,6,1,,,,,,,,,13.58,1.99,,,,,,13.57,1.99,,,,,,13.58,1.99,,,,,,13.58,1.99,,,,,,13.58,2,,,,,,13.57,2,,,,,,13.57,2,,,,,,13.58,2,,,,,,13.58,2,,,,,,13.57,2,,,,,,13.58,2,,,,,,13.58,1.99,,,,,,13.57,2,,,,,,13.58,1.99,,,,,,13.57,2,,,,,,13.57,2,,,,,,13.57,2,,,,,,13.57,1.99,,,,,,13.57,1.99,,,,,,13.57,1.99,,,,,,13.57,1.99,,
1,1,1,9,3,Z,,,,3,3,,UPS 2B,1,35,1,1,35,,2.2,14.4,12.5,6,1,,,,,,,,,13.58,2.04,,,,,,13.59,2.04,,,,,,13.58,2.04,,,,,,13.58,2.04,,,,,,13.58,2.04,,,,,,13.58,2.05,,,,,,13.58,2.04,,,,,,13.58,2.05,,,,,,13.57,2.05,,,,,,13.58,2.04,,,,,,13.58,2.05,,,,,,13.58,2.04,,,,,,13.58,2.05,,,,,,13.58,2.04,,,,,,13.58,2.05,,,,,,13.58,2.05,,,,,,13.58,2.04,,,,,,13.58,2.04,,,,,,13.57,2.04,,,,,,13.58,2.04,,,,,,13.58,2.04,,
1,1,1,9,4,Z,,,,4,4,,UPS 2B,1,36,1,1,36,,2.2,14.4,12.5,6,1,,,,,,,,,13.58,1.79,,,,,,13.57,1.8,,,,,,13.58,1.79,,,,,,13.57,1.79,,,,,,13.57,1.8,,,,,,13.57,1.8,,,,,,13.58,1.8,,,,,,13.57,1.8,,,,,,13.57,1.8,,,,,,13.57,1.8,,,,,,13.57,1.79,,,,,,13.57,1.8,,,,,,13.57,1.79,,,,,,13.57,1.79,,,,,,13.57,1.79,,,,,,13.57,1.79,,,,,,13.57,1.79,,,,,,13.57,1.79,,,,,,13.57,1.79,,,,,,13.57,1.79,,,,,,13.57,1.78,,
1,1,1,10,1,Z,,,,1,1,,UPS 2B,1,37,1,1,37,,2.2,14.4,12.5,6,1,,,,,,,,,13.52,1.98,,,,,,13.51,1.98,,,,,,13.51,1.97,,,,,,13.51,1.98,,,,,,13.51,1.98,,,,,,13.52,1.98,,,,,,13.52,1.98,,,,,,13.51,1.98,,,,,,13.51,1.98,,,,,,13.51,1.98,,,,,,13.51,1.98,,,,,,13.52,1.98,,,,,,13.5,1.98,,,,,,13.5,1.98,,,,,,13.5,1.98,,,,,,13.51,1.98,,,,,,13.51,1.98,,,,,,13.5,1.98,,,,,,13.5,1.97,,,,,,13.5,1.98,,,,,,13.5,1.97,,
1,1,1,10,2,Z,,,,2,2,,UPS 2B,1,38,1,1,38,,2.2,14.4,12.5,6,1,,,,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.97,,,,,,13.58,1.97,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.97,,,,,,13.58,1.98,,,,,,13.58,1.98,,,,,,13.58,1.97,,,,,,13.58,1.97,,,,,,13.58,1.97,,,,,,13.57,1.97,,
1,1,1,10,3,Z,,,,3,3,,UPS 2B,1,39,1,1,39,,2.2,14.4,12.5,6,1,,,,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.63,1.97,,,,,,13.62,1.98,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.62,1.98,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.63,1.97,,,,,,13.63,1.97,,,,,,13.62,1.97,,,,,,13.62,1.97,,,,,,13.63,1.97,,,,,,13.63,1.97,,
1,1,1,10,4,Z,,,,4,4,,UPS 2B,1,40,1,1,40,,2.2,14.4,12.5,6,1,,,,,,,,,13.61,1.81,,,,,,13.6,1.81,,,,,,13.61,1.81,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.61,1.81,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.6,1.82,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.6,1.81,,,,,,13.59,1.81,,,,,,13.6,1.81,,,,,,13.6,1.8,,
1,1,1,11,1,Z,,,,1,1,,UPS 2B,2,1,1,2,1,,2.2,14.4,12.5,6,1,,,,,,,,,13.65,1.91,,,,,,13.64,1.91,,,,,,13.64,1.92,,,,,,13.64,1.91,,,,,,13.65,1.92,,,,,,13.65,1.92,,,,,,13.65,1.92,,,,,,13.64,1.92,,,,,,13.65,1.92,,,,,,13.65,1.92,,,,,,13.65,1.91,,,,,,13.66,1.91,,,,,,13.66,1.92,,,,,,13.66,1.91,,,,,,13.66,1.92,,,,,,13.66,1.92,,,,,,13.66,1.92,,,,,,13.66,1.92,,,,,,13.66,1.92,,,,,,13.66,1.91,,,,,,13.66,1.91,,
1,1,1,11,2,Z,,,,2,2,,UPS 2B,2,2,1,2,2,,2.2,14.4,12.5,6,1,,,,,,,,,13.6,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.6,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.99,,,,,,13.59,1.98,,,,,,13.59,1.99,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,,,,,13.59,1.98,,
1,1,1,11,3,Z,,,,3,3,,UPS 2B,2,3,1,2,3,,2.2,14.4,12.5,6,1,,,,,,,,,13.66,2.02,,,,,,13.65,2.03,,,,,,13.65,2.02,,,,,,13.66,2.02,,,,,,13.66,2.03,,,,,,13.65,2.03,,,,,,13.66,2.03,,,,,,13.65,2.03,,,,,,13.65,2.03,,,,,,13.66,2.03,,,,,,13.65,2.03,,,,,,13.66,2.03,,,,,,13.65,2.03,,,,,,13.66,2.03,,,,,,13.67,2.03,,,,,,13.67,2.03,,,,,,13.66,2.03,,,,,,13.66,2.02,,,,,,13.67,2.02,,,,,,13.67,2.03,,,,,,13.67,2.02,,
1,1,1,11,4,Z,,,,4,4,,UPS 2B,2,4,1,2,4,,2.2,14.4,12.5,6,1,,,,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.81,,,,,,13.64,1.81,,,,,,13.64,1.82,,,,,,13.65,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.82,,,,,,13.64,1.81,,,,,,13.64,1.82,,,,,,13.64,1.81,,
1,1,1,12,1,Z,,,,1,1,,UPS 2B,2,5,1,2,5,,2.2,14.4,12.5,6,1,,,,,,,,,13.6,1.99,,,,,,13.6,2,,,,,,13.59,1.99,,,,,,13.6,1.99,,,,,,13.59,1.99,,,,,,13.6,2,,,,,,13.59,1.99,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,1.99,,,,,,13.59,1.99,,,,,,13.59,1.99,,,,,,13.6,1.99,,,,,,13.59,1.99,,,,,,13.6,1.99,,,,,,13.59,2,,,,,,13.59,1.99,,,,,,13.6,1.99,,,,,,13.59,1.99,,
1,1,1,12,2,Z,,,,2,2,,UPS 2B,2,6,1,2,6,,2.2,14.4,12.5,6,1,,,,,,,,,13.57,1.95,,,,,,13.57,1.95,,,,,,13.57,1.95,,,,,,13.57,1.95,,,,,,13.57,1.96,,,,,,13.58,1.96,,,,,,13.58,1.95,,,,,,13.58,1.95,,,,,,13.57,1.96,,,,,,13.57,1.95,,,,,,13.56,1.96,,,,,,13.57,1.96,,,,,,13.57,1.96,,,,,,13.57,1.95,,,,,,13.57,1.95,,,,,,13.57,1.96,,,,,,13.57,1.95,,,,,,13.57,1.95,,,,,,13.58,1.95,,,,,,13.57,1.95,,,,,,13.58,1.95,,
1,1,1,12,3,Z,,,,3,3,,UPS 2B,2,7,1,2,7,,2.2,14.4,12.5,6,1,,,,,,,,,13.65,2.08,,,,,,13.65,2.08,,,,,,13.66,2.08,,,,,,13.65,2.08,,,,,,13.65,2.08,,,,,,13.64,2.09,,,,,,13.65,2.08,,,,,,13.66,2.09,,,,,,13.66,2.09,,,,,,13.65,2.09,,,,,,13.66,2.08,,,,,,13.66,2.09,,,,,,13.66,2.09,,,,,,13.68,2.08,,,,,,13.66,2.08,,,,,,13.66,2.09,,,,,,13.67,2.08,,,,,,13.67,2.08,,,,,,13.67,2.08,,,,,,13.67,2.08,,,,,,13.68,2.08,,
1,1,1,12,4,Z,,,,4,4,,UPS 2B,2,8,1,2,8,,2.2,14.4,12.5,6,1,,,,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.61,1.77,,,,,,13.6,1.77,,,,,,13.61,1.77,,,,,,13.62,1.77,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.61,1.77,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.61,1.77,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.61,1.76,,,,,,13.62,1.76,,
1,1,1,13,1,Z,,,,1,1,,UPS 2B,2,9,1,2,9,,2.2,14.4,12.5,6,1,,,,,,,,,13.6,1.96,,,,,,13.59,1.96,,,,,,13.59,1.95,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.6,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.96,,,,,,13.59,1.95,,,,,,13.59,1.95,,,,,,13.6,1.95,,,,,,13.59,1.95,,
1,1,1,13,2,Z,,,,2,2,,UPS 2B,2,10,1,2,10,,2.2,14.4,12.5,6,1,,,,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.23,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.59,2.22,,,,,,13.6,2.22,,,,,,13.59,2.22,,,,,,13.6,2.22,,,,,,13.6,2.22,,,,,,13.6,2.22,,,,,,13.6,2.22,,,,,,13.6,2.22,,
1,1,1,13,3,Z,,,,3,3,,UPS 2B,2,11,1,2,11,,2.2,14.4,12.5,6,1,,,,,,,,,13.67,2,,,,,,13.66,2,,,,,,13.67,2,,,,,,13.67,2,,,,,,13.67,2,,,,,,13.67,2.01,,,,,,13.67,2.01,,,,,,13.66,2,,,,,,13.67,2,,,,,,13.67,2,,,,,,13.67,2,,,,,,13.67,2,,,,,,13.67,2,,,,,,13.67,2,,,,,,13.67,2,,,,,,13.68,2,,,,,,13.67,2,,,,,,13.68,2,,,,,,13.68,2,,,,,,13.68,2,,,,,,13.68,2,,
1,1,1,13,4,Z,,,,4,4,,UPS 2B,2,12,1,2,12,,2.2,14.4,12.5,6,1,,,,,,,,,13.61,1.77,,,,,,13.61,1.77,,,,,,13.6,1.77,,,,,,13.61,1.77,,,,,,13.61,1.77,,,,,,13.61,1.78,,,,,,13.61,1.77,,,,,,13.61,1.77,,,,,,13.6,1.77,,,,,,13.6,1.78,,,,,,13.6,1.77,,,,,,13.6,1.77,,,,,,13.6,1.77,,,,,,13.6,1.77,,,,,,13.61,1.77,,,,,,13.61,1.77,,,,,,13.61,1.77,,,,,,13.6,1.77,,,,,,13.6,1.77,,,,,,13.61,1.77,,,,,,13.6,1.77,,
1,1,1,14,1,Z,,,,1,1,,UPS 2B,2,13,1,2,13,,2.2,14.4,12.5,6,1,,,,,,,,,13.7,2.03,,,,,,13.71,2.03,,,,,,13.7,2.03,,,,,,13.7,2.03,,,,,,13.7,2.04,,,,,,13.7,2.04,,,,,,13.7,2.04,,,,,,13.71,2.04,,,,,,13.7,2.03,,,,,,13.7,2.04,,,,,,13.71,2.03,,,,,,13.71,2.03,,,,,,13.7,2.03,,,,,,13.71,2.03,,,,,,13.71,2.03,,,,,,13.71,2.03,,,,,,13.71,2.03,,,,,,13.71,2.03,,,,,,13.72,2.03,,,,,,13.72,2.03,,,,,,13.72,2.03,,
1,1,1,14,2,Z,,,,2,2,,UPS 2B,2,14,1,2,14,,2.2,14.4,12.5,6,1,,,,,,,,,13.62,2.02,,,,,,13.62,2.02,,,,,,13.62,2.02,,,,,,13.63,2.02,,,,,,13.63,2.02,,,,,,13.64,2.02,,,,,,13.64,2.02,,,,,,13.64,2.02,,,,,,13.63,2.02,,,,,,13.63,2.03,,,,,,13.63,2.02,,,,,,13.63,2.02,,,,,,13.63,2.02,,,,,,13.62,2.02,,,,,,13.64,2.02,,,,,,13.63,2.02,,,,,,13.64,2.02,,,,,,13.63,2.02,,,,,,13.63,2.02,,,,,,13.63,2.02,,,,,,13.62,2.02,,
1,1,1,14,3,Z,,,,3,3,,UPS 2B,2,15,1,2,15,,2.2,14.4,12.5,6,1,,,,,,,,,13.61,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.61,1.98,,,,,,13.6,1.99,,,,,,13.61,1.99,,,,,,13.61,1.98,,,,,,13.61,1.98,,,,,,13.6,1.99,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,,,,,13.6,1.98,,
1,1,1,14,4,Z,,,,4,4,,UPS 2B,2,16,1,2,16,,2.2,14.4,12.5,6,1,,,,,,,,,13.64,1.85,,,,,,13.64,1.85,,,,,,13.63,1.85,,,,,,13.64,1.85,,,,,,13.64,1.85,,,,,,13.64,1.85,,,,,,13.63,1.85,,,,,,13.63,1.85,,,,,,13.64,1.85,,,,,,13.64,1.85,,,,,,13.64,1.85,,,,,,13.63,1.85,,,,,,13.63,1.85,,,,,,13.63,1.85,,,,,,13.63,1.85,,,,,,13.64,1.85,,,,,,13.64,1.84,,,,,,13.64,1.84,,,,,,13.64,1.85,,,,,,13.64,1.85,,,,,,13.63,1.84,,
1,1,1,15,1,Z,,,,1,1,,UPS 2B,2,17,1,2,17,,2.2,14.4,12.5,6,1,,,,,,,,,13.64,1.95,,,,,,13.65,1.95,,,,,,13.67,1.95,,,,,,13.66,1.95,,,,,,13.66,1.95,,,,,,13.64,1.96,,,,,,13.65,1.95,,,,,,13.65,1.96,,,,,,13.66,1.95,,,,,,13.65,1.96,,,,,,13.65,1.96,,,,,,13.65,1.95,,,,,,13.65,1.95,,,,,,13.65,1.95,,,,,,13.64,1.95,,,,,,13.65,1.95,,,,,,13.65,1.95,,,,,,13.65,1.95,,,,,,13.65,1.95,,,,,,13.65,1.95,,,,,,13.65,1.95,,
1,1,1,15,2,Z,,,,2,2,,UPS 2B,2,18,1,2,18,,2.2,14.4,12.5,6,1,,,,,,,,,13.71,1.97,,,,,,13.71,1.97,,,,,,13.71,1.96,,,,,,13.71,1.97,,,,,,13.71,1.97,,,,,,13.71,1.97,,,,,,13.72,1.97,,,,,,13.72,1.97,,,,,,13.72,1.97,,,,,,13.72,1.97,,,,,,13.72,1.97,,,,,,13.72,1.97,,,,,,13.73,1.97,,,,,,13.72,1.96,,,,,,13.73,1.97,,,,,,13.72,1.97,,,,,,13.72,1.96,,,,,,13.72,1.97,,,,,,13.73,1.96,,,,,,13.72,1.96,,,,,,13.73,1.96,,
1,1,1,15,3,Z,,,,3,3,,UPS 2B,2,19,1,2,19,,2.2,14.4,12.5,6,1,,,,,,,,,13.69,1.93,,,,,,13.7,1.93,,,,,,13.7,1.93,,,,,,13.69,1.93,,,,,,13.69,1.93,,,,,,13.69,1.94,,,,,,13.69,1.93,,,,,,13.7,1.93,,,,,,13.7,1.93,,,,,,13.7,1.93,,,,,,13.71,1.93,,,,,,13.71,1.93,,,,,,13.71,1.93,,,,,,13.71,1.93,,,,,,13.71,1.93,,,,,,13.7,1.93,,,,,,13.72,1.93,,,,,,13.71,1.93,,,,,,13.71,1.92,,,,,,13.71,1.93,,,,,,13.71,1.92,,
1,1,1,15,4,Z,,,,4,4,,UPS 2B,2,20,1,2,20,,2.2,14.4,12.5,6,1,,,,,,,,,13.61,1.77,,,,,,13.61,1.77,,,,,,13.6,1.77,,,,,,13.61,1.77,,,,,,13.61,1.78,,,,,,13.61,1.78,,,,,,13.61,1.78,,,,,,13.6,1.78,,,,,,13.61,1.77,,,,,,13.61,1.78,,,,,,13.6,1.77,,,,,,13.6,1.77,,,,,,13.6,1.77,,,,,,13.6,1.77,,,,,,13.61,1.78,,,,,,13.61,1.77,,,,,,13.6,1.77,,,,,,13.61,1.78,,,,,,13.6,1.77,,,,,,13.61,1.77,,,,,,13.6,1.77,,
1,1,1,16,1,Z,,,,1,1,,UPS 2B,2,21,1,2,21,,2.2,14.4,12.5,6,1,,,,,,,,,13.65,1.98,,,,,,13.65,1.98,,,,,,13.64,1.97,,,,,,13.64,1.97,,,,,,13.65,1.98,,,,,,13.65,1.98,,,,,,13.65,1.98,,,,,,13.65,1.98,,,,,,13.65,1.98,,,,,,13.65,1.98,,,,,,13.64,1.98,,,,,,13.65,1.98,,,,,,13.65,1.98,,,,,,13.65,1.98,,,,,,13.64,1.98,,,,,,13.65,1.98,,,,,,13.64,1.97,,,,,,13.64,1.97,,,,,,13.64,1.97,,,,,,13.65,1.97,,,,,,13.64,1.97,,
1,1,1,16,2,Z,,,,2,2,,UPS 2B,2,22,1,2,22,,2.2,14.4,12.5,6,1,,,,,,,,,13.6,2,,,,,,13.6,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.6,2,,,,,,13.59,2,,,,,,13.58,2.01,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.59,2,,,,,,13.58,2,,
